titulo_post,descripcion_post,comentario,comentario_clean,comentario_norm,likes,url,fecha,archivo_origen,candidatos_detectados,capa_deteccion
Debate presidencial genera polémica,Las nuevas encuestas muestran variaciones en la intención de voto.,La economía debería ser la prioridad del próximo gobierno.,la economía debería ser la prioridad del próximo gobierno,la economía debería ser la prioridad del próximo gobierno,3027,https://ejemplo-elecciones-colombia.com/post/51,2026-04-23,dataset_elecciones_3.csv,Vicky Dávila,nlp
Opiniones divididas en redes sociales,El candidato habló sobre reformas para mejorar la economía nacional.,Interesante análisis político para las elecciones.,interesante análisis político para las elecciones,interesante analisis político para las elecciones,4333,https://ejemplo-elecciones-colombia.com/post/52,2026-03-11,dataset_elecciones_1.csv,Claudia López,manual
Encuesta electoral muestra cambios,El candidato habló sobre reformas para mejorar la economía nacional.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,945,https://ejemplo-elecciones-colombia.com/post/53,2026-05-01,dataset_elecciones_1.csv,Juan Manuel Galán,nlp
Encuesta electoral muestra cambios,Miles de personas reaccionan a las declaraciones recientes.,La economía debería ser la prioridad del próximo gobierno.,la economía debería ser la prioridad del próximo gobierno,la economía debería ser la prioridad del próximo gobierno,2808,https://ejemplo-elecciones-colombia.com/post/54,2026-03-19,dataset_elecciones_2.csv,Sergio Fajardo,manual
Análisis de intención de voto,Usuarios comentan las propuestas presentadas durante el debate.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,756,https://ejemplo-elecciones-colombia.com/post/55,2026-02-02,dataset_elecciones_4.csv,Miguel Uribe,manual
Análisis de intención de voto,Las nuevas encuestas muestran variaciones en la intención de voto.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,2145,https://ejemplo-elecciones-colombia.com/post/56,2026-02-12,dataset_elecciones_2.csv,Gustavo Petro,modelo_bert
Nuevo plan de empleo juvenil,Usuarios comentan las propuestas presentadas durante el debate.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,916,https://ejemplo-elecciones-colombia.com/post/57,2026-02-24,dataset_elecciones_1.csv,Miguel Uribe,nlp
Candidato propone reforma económica,Las propuestas para jóvenes generan debate en redes.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,4526,https://ejemplo-elecciones-colombia.com/post/58,2026-04-17,dataset_elecciones_2.csv,Miguel Uribe,modelo_bert
Candidato propone reforma económica,Analistas revisan el impacto de las campañas digitales.,Creo que este candidato tiene buenas propuestas.,creo que este candidato tiene buenas propuestas,creo que este candidato tiene buenas propuestas,326,https://ejemplo-elecciones-colombia.com/post/59,2026-02-09,dataset_elecciones_3.csv,Vicky Dávila,nlp
Debate presidencial genera polémica,El candidato habló sobre reformas para mejorar la economía nacional.,No estoy de acuerdo con lo que dijo en el debate.,no estoy de acuerdo con lo que dijo en el debate,no estoy de acuerdo con lo que dijo en el debate,4586,https://ejemplo-elecciones-colombia.com/post/60,2026-03-27,dataset_elecciones_4.csv,Juan Manuel Galán,nlp
Análisis de intención de voto,Analistas revisan el impacto de las campañas digitales.,Interesante análisis político para las elecciones.,interesante análisis político para las elecciones,interesante analisis político para las elecciones,1450,https://ejemplo-elecciones-colombia.com/post/61,2026-01-21,dataset_elecciones_4.csv,Vicky Dávila,regex
Candidato propone reforma económica,Analistas revisan el impacto de las campañas digitales.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,3372,https://ejemplo-elecciones-colombia.com/post/62,2026-04-29,dataset_elecciones_2.csv,Vicky Dávila,manual
Debate presidencial genera polémica,La seguridad y el transporte fueron temas principales en la discusión.,Interesante análisis político para las elecciones.,interesante análisis político para las elecciones,interesante analisis político para las elecciones,317,https://ejemplo-elecciones-colombia.com/post/63,2026-03-31,dataset_elecciones_4.csv,Vicky Dávila,nlp
Discusión sobre seguridad en Bogotá,El candidato habló sobre reformas para mejorar la economía nacional.,Interesante análisis político para las elecciones.,interesante análisis político para las elecciones,interesante analisis político para las elecciones,2500,https://ejemplo-elecciones-colombia.com/post/64,2026-04-28,dataset_elecciones_2.csv,Vicky Dávila,nlp
Discusión sobre seguridad en Bogotá,El candidato habló sobre reformas para mejorar la economía nacional.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,2282,https://ejemplo-elecciones-colombia.com/post/65,2026-01-25,dataset_elecciones_1.csv,Gustavo Petro,manual
Discusión sobre seguridad en Bogotá,Miles de personas reaccionan a las declaraciones recientes.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,4392,https://ejemplo-elecciones-colombia.com/post/66,2026-03-07,dataset_elecciones_3.csv,Sergio Fajardo,regex
Nuevo plan de empleo juvenil,El candidato habló sobre reformas para mejorar la economía nacional.,La economía debería ser la prioridad del próximo gobierno.,la economía debería ser la prioridad del próximo gobierno,la economía debería ser la prioridad del próximo gobierno,313,https://ejemplo-elecciones-colombia.com/post/67,2026-01-23,dataset_elecciones_1.csv,Gustavo Petro,modelo_bert
Candidato propone reforma económica,La seguridad y el transporte fueron temas principales en la discusión.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,4966,https://ejemplo-elecciones-colombia.com/post/68,2026-04-11,dataset_elecciones_5.csv,Sergio Fajardo,regex
Candidato propone reforma económica,Usuarios comentan las propuestas presentadas durante el debate.,Las encuestas no siempre reflejan la realidad.,las encuestas no siempre reflejan la realidad,las encuestas no siempre reflejan la realidad,3572,https://ejemplo-elecciones-colombia.com/post/69,2026-01-25,dataset_elecciones_1.csv,Claudia López,nlp
Opiniones divididas en redes sociales,El candidato habló sobre reformas para mejorar la economía nacional.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,2571,https://ejemplo-elecciones-colombia.com/post/70,2026-01-09,dataset_elecciones_1.csv,Sergio Fajardo,manual
Discusión sobre seguridad en Bogotá,El candidato habló sobre reformas para mejorar la economía nacional.,La economía debería ser la prioridad del próximo gobierno.,la economía debería ser la prioridad del próximo gobierno,la economía debería ser la prioridad del próximo gobierno,3296,https://ejemplo-elecciones-colombia.com/post/71,2026-03-27,dataset_elecciones_3.csv,Miguel Uribe,nlp
Discusión sobre seguridad en Bogotá,Miles de personas reaccionan a las declaraciones recientes.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,1425,https://ejemplo-elecciones-colombia.com/post/72,2026-03-27,dataset_elecciones_5.csv,Vicky Dávila,manual
Debate presidencial genera polémica,El candidato habló sobre reformas para mejorar la economía nacional.,Las encuestas no siempre reflejan la realidad.,las encuestas no siempre reflejan la realidad,las encuestas no siempre reflejan la realidad,2350,https://ejemplo-elecciones-colombia.com/post/73,2026-04-17,dataset_elecciones_2.csv,Claudia López,modelo_bert
Opiniones divididas en redes sociales,El candidato habló sobre reformas para mejorar la economía nacional.,Las encuestas no siempre reflejan la realidad.,las encuestas no siempre reflejan la realidad,las encuestas no siempre reflejan la realidad,3809,https://ejemplo-elecciones-colombia.com/post/74,2026-03-19,dataset_elecciones_4.csv,María Fernanda Cabal,modelo_bert
Discusión sobre seguridad en Bogotá,Analistas revisan el impacto de las campañas digitales.,No estoy de acuerdo con lo que dijo en el debate.,no estoy de acuerdo con lo que dijo en el debate,no estoy de acuerdo con lo que dijo en el debate,1390,https://ejemplo-elecciones-colombia.com/post/75,2026-03-07,dataset_elecciones_1.csv,Juan Manuel Galán,manual
Nuevo plan de empleo juvenil,El candidato habló sobre reformas para mejorar la economía nacional.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,765,https://ejemplo-elecciones-colombia.com/post/76,2026-03-23,dataset_elecciones_2.csv,Miguel Uribe,manual
Encuesta electoral muestra cambios,Usuarios comentan las propuestas presentadas durante el debate.,Interesante análisis político para las elecciones.,interesante análisis político para las elecciones,interesante analisis político para las elecciones,378,https://ejemplo-elecciones-colombia.com/post/77,2026-01-26,dataset_elecciones_2.csv,Vicky Dávila,modelo_bert
Debate presidencial genera polémica,La seguridad y el transporte fueron temas principales en la discusión.,Interesante análisis político para las elecciones.,interesante análisis político para las elecciones,interesante analisis político para las elecciones,3395,https://ejemplo-elecciones-colombia.com/post/78,2026-04-09,dataset_elecciones_5.csv,Miguel Uribe,nlp
Discusión sobre seguridad en Bogotá,La seguridad y el transporte fueron temas principales en la discusión.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,1998,https://ejemplo-elecciones-colombia.com/post/79,2026-02-19,dataset_elecciones_2.csv,Juan Manuel Galán,regex
Debate presidencial genera polémica,Analistas revisan el impacto de las campañas digitales.,Interesante análisis político para las elecciones.,interesante análisis político para las elecciones,interesante analisis político para las elecciones,3482,https://ejemplo-elecciones-colombia.com/post/80,2026-04-09,dataset_elecciones_2.csv,María Fernanda Cabal,nlp
Discusión sobre seguridad en Bogotá,Usuarios comentan las propuestas presentadas durante el debate.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,4566,https://ejemplo-elecciones-colombia.com/post/81,2026-03-08,dataset_elecciones_2.csv,María Fernanda Cabal,regex
Discusión sobre seguridad en Bogotá,Miles de personas reaccionan a las declaraciones recientes.,No estoy de acuerdo con lo que dijo en el debate.,no estoy de acuerdo con lo que dijo en el debate,no estoy de acuerdo con lo que dijo en el debate,4351,https://ejemplo-elecciones-colombia.com/post/82,2026-04-13,dataset_elecciones_5.csv,Claudia López,manual
Análisis de intención de voto,Miles de personas reaccionan a las declaraciones recientes.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,4135,https://ejemplo-elecciones-colombia.com/post/83,2026-03-20,dataset_elecciones_4.csv,María Fernanda Cabal,modelo_bert
Discusión sobre seguridad en Bogotá,La seguridad y el transporte fueron temas principales en la discusión.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,2123,https://ejemplo-elecciones-colombia.com/post/84,2026-04-21,dataset_elecciones_2.csv,Vicky Dávila,manual
Discusión sobre seguridad en Bogotá,Miles de personas reaccionan a las declaraciones recientes.,Interesante análisis político para las elecciones.,interesante análisis político para las elecciones,interesante analisis político para las elecciones,1959,https://ejemplo-elecciones-colombia.com/post/85,2026-03-08,dataset_elecciones_3.csv,María Fernanda Cabal,modelo_bert
Encuesta electoral muestra cambios,El candidato habló sobre reformas para mejorar la economía nacional.,La seguridad sigue siendo el tema más importante.,la seguridad sigue siendo el tema más importante,la seguridad sigue siendo el tema mas importante,2751,https://ejemplo-elecciones-colombia.com/post/86,2026-02-06,dataset_elecciones_3.csv,Gustavo Petro,regex
Discusión sobre seguridad en Bogotá,Miles de personas reaccionan a las declaraciones recientes.,No estoy de acuerdo con lo que dijo en el debate.,no estoy de acuerdo con lo que dijo en el debate,no estoy de acuerdo con lo que dijo en el debate,1251,https://ejemplo-elecciones-colombia.com/post/87,2026-01-30,dataset_elecciones_2.csv,Vicky Dávila,regex
Nuevo plan de empleo juvenil,La seguridad y el transporte fueron temas principales en la discusión.,Muchos jóvenes apoyan estas iniciativas.,muchos jóvenes apoyan estas iniciativas,muchos jóvenes apoyan estas iniciativas,3406,https://ejemplo-elecciones-colombia.com/post/88,2026-02-12,dataset_elecciones_1.csv,Claudia López,nlp
